map000._as		
旅人の森	Map 01##	
ネイティアルの属性には相性があります。 地→水→火→天→地…の力関係を 把握しましょう。またギュネ・フォスのような 飛行タイプのネイティアルは斬り込んで くることがあります。注意しましょう。 	Keep in mind every Natial has an element they are strong against: Earth > Water > Fire > Heaven > Earth... Be wary of flying Natials like Guene-Foss. They can move quickly to attack you! 	
ブルーマスターが圧倒的に有利です。 レッドマスターは奇襲をかける以外 勝機は無いでしょう。 	The Blue Master has the advantage here. The Red Master could try a sneak attack.         	
		
map001._as		
慟哭のオアシス	####Map 02####	
水の中に入ると、レキューの移動範囲は 広くなります。パ・ランセルも水に入ることが できますが、移動範囲は逆に狭くなります。 それぞれのネイティアルの特性を 把握しながら、戦いを進めていきましょう。 	Move types affect which tiles a unit can be on and their movement range. Requ can move farther in the water, while Masters and Pa-Rancell move slower. Some units can't go in the water at all.  	
ブルーマスターが圧倒的に有利です。 レッドマスターは速攻をかけ、魔晶石を 確保しなければ勝機がありません。 	The Blue Master has the advantage here. The Red Master must find a way to capture those Crystal tiles.   	
		
map002._as		
暗雲の尖島	##Map 03##	
魔晶石や茂みの上は防御効果があります。 また魔晶石の上に留まるユニットは、 毎ターンの始めにＨＰが１回復します。 敵マスターの遠距離攻撃に注意しながら 攻めていきましょう。 	Units standing on Crystal or Bush tiles receive a defense boost. Additionally, Crystal tiles heal 1HP to the unit standing on them. Beware this Master's ranged attacks! 	
ブルーマスターが圧倒的に有利です。 レッドマスターは魔晶石数での大差を 覆さなければなりません。 遮るものが無いため、両者とも斬り込みや 遠距離攻撃には注意が必要です。 	The Blue Master has the advantage here. The Red Master will struggle due to starting at a lower elevation. With so few obstacles, fights can be close or long-range. 	
		
map003._as		
虚無の妖宮	##Map 04##	
ネイティアルの中には、昼型や夜型の ものがいます。昼型は明るい所では強く、 暗い場所では弱くなります。 通常、明るさは時間と共に変化しますが、 屋内では明るさは常に一定です。 	Some Natials are impacted by brightness. Day-Type Natials are more powerful when it's bright, but weaken in dark locations. Indoor areas keep a consistent brightness.     	
ブルーマスターが有利です。 初期位置がほぼ対称なため、進攻する 速度はマスターの特性に依存します。 前面に出すぎても危険にさらされるため、 身の置き所が難しいマップと言えます。 	The Blue Master has the advantage here. Since the map is nearly symmetrical, the speed of your assault will depend on your Master. But be careful about advancing too fast.  	
		
map004._as		
砂丘の蜃気楼	##Map 05####	
砂漠のような地形では、足を取られて 移動力が落ちてしまいます。また柱状の 足場には、飛行型のネイティアルだけが 着地できます。それぞれの地形の特性を 利用してみましょう。 	Movement is much slower in the desert, as sand tiles reduce the movement of all units that can't fly. Flying Natials can land on the columns for long-range attacks!  	
ブルーマスターが圧倒的に有利です。 レッドマスターは奇襲と陽動を 繰り返さなければ勝ち目がありません。 移動しづらい砂上での防御には 気を配る必要があります。	The Blue Master has the advantage here. The Red Master will need to use surprise attacks and feints to win. Movement is slow here, be on your guard.	
		
map005._as		
寒波の檻	Map 06##	
積雪の場所は移動しづらくなっています。 また腐潟（ふせき）と呼ばれる、留まると ダメージを受けてしまう地形があります。 水中には豊富な魔晶石があるので、 水辺での戦闘の進め方を考えましょう。 	The snow and water is going to make it difficult to move. Swamp tiles are also dangerous, as they damage any unit that stops on them. Your Water Natials will be important here.          	
ブルーマスターが若干有利です。 水中魔晶石を巡る攻防と、陽動の展開が 勝敗を決するでしょう。 中央での戦闘に競り負けてしまうと、 崩れた戦線の建て直しは難しいでしょう。	The Blue Master has a small advantage. The deciding factor on this map is the Crystal tiles underwater in the center. If you lose those, winning will be difficult. 	
 “Fuseki” (ふせき) Swamp		
map006._as		
暗洞に響く歌声	####Map 07####	
