File Name	Japanese Name	Rough Translation	Meaning	English Name
mas000	スケーザ	Skeza	???	Skeza
mas001	ダッツ・ワット	Datz Watt	???	Datz Watt
mas002	ゴルダ・ナット	Golda Nut	Golda, Yiddish for Gold	Golda Nut
mas003	メレーナ＆マギー	Melena & Maggie	Darkness, Pearl	Melena & Maggie
mas004	クラウン	Crown/Kuraun		Krown
mas005	カエデ	Maple/Kaede	Kaede = Maple	Maple
mas006	ルフィー	Luffy/Rufi		Luffy
mas007	アジャン	Ajahn	Teacher	Ajahn
mas008	リー・リン	Lee Lin	Combination of Lee (Old English - meadow) and Lynn (Welsh - lake)	Leelynn
mas009	ディセール	Desale		Desale
mas010	ファーキル	Fakir	Muslim mendicant, Hindu ascetic	Fakir
mas011	アトミス	Atomis	Atom	Atomis
mas012	ユーリオ	Lapis Lazuli/Yūrio	Yurio (琉璃) both mean Lapis Lazuli	Lapis
mas013	ノクシー・メッド	Noxie Medd	Noxie is variant of Nox, Roman goddes of Night, Medd = Meadow	Noxie Medd
mas014	アフサーラ	Afsar/Ahsara	Afshara = Arabic for Angel	Afshara
mas015	ブロウマン	Browman	Strathclyde-Briton people of the Scottish/English Borderlands. Browman is a name for someone who lived in Galloway in the southwest of Scotland.	Browman
mas016	ベルヴァス	Belvas	Yemen surname	Belvas
mas017	ゼーオット	Zeott/Zēotto	???	Zeott
mas018	ギル・ガンダロス	Gil Gandaros	Gil = derived from Hebrew Gilead	Gil Gandaros
mas019	フェラル・ミリナ	Feral Myrina	Myrina = Queen of the Amazons from Greek myth	Feral Myrina
mas020	ガドローム	Gadrome	???	Gadrome
mas021	ライラ＆フー	Lyra & Fu	Same spelling for Lyra Barton, Nayuta	Lyra & Fu
mas022	ビュレナス	Byrenas	???	Byrenas
mas023	ストラーゼ	Straze		Straze
mas024	カクノス	Kakunos		Kakunos
mas025	ミストロック	Mistlock/Mist Rock		Mistlock
mas026	メルレット	Merlet	Romanized Name	Merlet
mas027	マッザム	Mazzam		Mazzam
mas028	スカーラット	Scarlet		Scarlet
mas029	ギド・カーン	Gid Karn	Romanized Name	Gid Karn
mas030	トロッケン	Trocken	Trocken = a dry German wine	Trocken
mas031	クローネ	Krone	Crown, Currency	Krone
mas032	ウォルタン	Woltan		Woltan
mas033	マグナ・レック	Magna Wreck		Magna Wreck
mas034	ファルマ	Pharma		Pharma
mas035	マーヤ	Maya		Maya
mas036	ジアス	Zias/Dias	Zias = Arabic for light or radiance	Zias
mas037	ギド・カーン	Gid Karn	Romanized Name	Gid Karn
