File Name	Japanese Name	English Name	Meaning	Japanese Description	English Description
mas000	スケーザ	Skeza	???	《スケーザ》 東方から来たと思われる剣士です。 防御力が低いので、 そこを攻めるとよいでしょう。	《Skeza》 A swordsman believed to be from the East. His major weakness is his low defense.   
mas001	ダッツ・ワット	Datz Watt	???	《ダッツ・ワット》 この地方を治めるワット家の当主です。 魔力は高めなので、油断は禁物です。 移動力は低く、逃げ場を塞ぐと効果的です。	《Datz Watt》 Head of the Watt family, who rule this region. While his intelligence is decent, you should be able to surround him. 
mas002	ゴルダ・ナット	Golda Nut	Golda, Yiddish for Gold	《ゴルダ・ナット》 足が速く移動力もあります。遠距離攻撃を 持っているので、接近しすぎると危険です。 魔力は低く、魔晶石を奪うと効果的でしょう。	《Golda Nut》 He is very fast and mobile, not to mention his powerful long-range attacks. Limit his options by stealing his Crystal tiles.   
mas003	メレーナ＆マギー	Melena & Maggie	Darkness, Pearl	《メレーナ・エラン＆マギー》 高貴な生まれのお嬢様という噂です。 素早さと魔法防御が高めで、撹乱を 狙ってきます。低い防御力が弱点です。	《Melena Elan & Maggie》 Rumors say she is a lady of noble birth. Her high speed can overwhelm opponents, but she is quite frail.    
mas004	クラウン	Krown		《クラウン・ザ・ハーミット》 世捨人として暮らす、老練の魔法使いです。 魔力が高いので注意が必要です。 エ・フェリオンを呼び出せます。	《Krown the Hermit》 A dangerous wizard who lives as a recluse. He has great magical powers and can summon the Ae-Ferrion Natial.  
mas005	カエデ	Maple	Kaede = Maple	《カエデ・ハートレス》 東方の忍びと呼ばれる者です。 素早さと移動力があるので、 うまく追い詰めて行くことが重要です。	《Maple Heartless》 Known as the "Ninja of the East," he is very fast and mobile, so try to corner him quickly.    
mas006	ルフィー	Luffy		《ルフィー・リュートマスター》 歌の力により秘術を行う者です。 エ・フェリオン、ダルンダラなどの 少し強いネイティアルを持っています。	《Luffy the Lute Master》 Uses song to cast arcane arts. Be careful of his Natials, as he can summon Ae-Ferrion and Dullmdalla.    
mas007	アジャン	Ajahn	Teacher	《アジャン・プラート》 素早さと移動力が高いのが特徴です。 防御力が低いので、弓矢などの遠距離 攻撃を中心に攻めるとよいでしょう。	《Ajahn Prato》 A thief with great speed and mobility. Because his defense is so low, you can use ranged attacks to beat him.  
mas008	リー・リン	Lee Lin	Combination of Lee (Old English - meadow) and Lynn (Welsh - lake)	《リー・リン》 バランスの取れた能力を持ち、弓による 遠距離攻撃も持っています。キュリア・ベルを 召喚できるので、注意が必要です。	《Lee Lin》 She has both well-rounded stats and can attack from a distance. Be careful of her Natials, especially Kyria-Bell.  
mas009	ディセール	Desale		《ディセール・ディアローン》 古の聖地を守護する戦士です。 防御力、魔法防御ともに高めですが、 遅いことが弱点です。	《Desale Diarone》 A paladin protecting this sacred site. She is quite durable, but her low speed is a weakness. 
mas010	ファーキル	Fakir	Muslim mendicant, Hindu ascetic	《ファーキル・ホルン》 この地方の領主です。 魔力は高めなので、油断は禁物です。 移動力が低いのが欠点です。	《Fakir Horn》 The lord of this region. Be on guard from his magical attacks as you plan out your attack.
mas011	アトミス	Atomis	Atom	《アトミス・フルール》 修業中の武術家です。 攻撃力や防御力が高く、素早さがあります。 魔法防御が低いのが弱点です。	《Atomis Fleur》 A martial artist trainee. She is quite strong, defensive, and fast, but her resistance is poor. 
